,EmployeeNumber,Age,Gender,MaritalStatus,EducationField,Department,JobLevel,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,Attrition
303,416,31,Male,Married,Technical Degree,Sales,2,6929,4,No,3,11,10,8,7,No
304,417,39,Male,Divorced,Medical,Research & Development,3,9613,0,No,3,17,19,18,10,No
305,419,36,Female,Married,Life Sciences,Research & Development,2,5674,7,No,3,15,11,9,8,No
306,420,32,Male,Married,Life Sciences,Sales,2,5484,1,No,3,14,13,13,8,No
307,421,38,Female,Married,Life Sciences,Research & Development,3,12061,3,No,3,17,19,10,8,No
308,422,58,Male,Divorced,Life Sciences,Research & Development,2,5660,2,Yes,3,13,12,5,3,No
309,423,31,Male,Married,Technical Degree,Research & Development,1,4821,0,Yes,3,12,6,5,2,No
310,424,31,Male,Married,Human Resources,Human Resources,2,6410,3,No,3,12,9,2,2,No
311,425,45,Male,Divorced,Life Sciences,Research & Development,3,5210,1,No,3,18,24,24,9,No
312,426,31,Male,Divorced,Life Sciences,Research & Development,1,2695,0,Yes,3,18,3,2,2,No
313,428,33,Female,Married,Life Sciences,Research & Development,3,11878,6,No,3,11,12,10,6,No
314,429,39,Male,Married,Medical,Research & Development,4,17068,1,Yes,3,14,21,21,9,No
315,430,43,Female,Single,Life Sciences,Research & Development,1,2455,0,No,3,19,9,8,7,No
316,431,49,Female,Single,Technical Degree,Research & Development,4,13964,7,Yes,3,12,25,7,1,No
317,433,52,Male,Married,Medical,Research & Development,2,4941,2,No,3,15,11,8,2,Yes
318,434,27,Female,Single,Life Sciences,Research & Development,1,2478,1,Yes,3,12,4,4,3,No
319,436,32,Female,Married,Technical Degree,Sales,2,5228,1,Yes,3,11,13,13,12,No
320,437,27,Male,Single,Life Sciences,Sales,2,4478,1,Yes,3,11,5,5,4,No
321,438,31,Male,Divorced,Marketing,Sales,2,7547,4,No,3,12,13,7,7,No
322,439,32,Female,Single,Medical,Research & Development,2,5055,7,No,3,16,10,7,7,No
323,440,28,Male,Married,Medical,Research & Development,1,3464,5,Yes,3,13,5,3,2,Yes
324,441,30,Female,Married,Medical,Research & Development,2,5775,1,No,3,13,11,10,8,No
325,442,31,Female,Married,Life Sciences,Research & Development,3,8943,1,No,4,24,10,10,9,No
326,444,39,Male,Married,Medical,Research & Development,5,19272,1,No,3,15,21,21,9,No
327,445,39,Female,Married,Medical,Sales,2,5238,4,Yes,3,18,12,1,0,Yes
328,446,33,Male,Single,Marketing,Sales,2,4682,3,No,3,14,9,7,7,No
329,447,47,Male,Married,Life Sciences,Research & Development,5,18300,4,No,3,11,21,3,2,No
330,448,43,Female,Divorced,Life Sciences,Research & Development,2,5257,1,No,3,11,9,9,7,No
331,449,27,Male,Married,Marketing,Sales,2,6349,0,Yes,3,13,6,5,4,No
332,450,54,Female,Single,Life Sciences,Research & Development,2,4869,3,No,3,12,20,4,3,No
333,451,43,Female,Married,Life Sciences,Research & Development,3,9985,8,No,3,16,10,1,0,No
334,452,45,Male,Married,Other,Research & Development,2,3697,9,No,3,14,12,10,9,No
335,453,40,Male,Married,Medical,Sales,2,7457,2,Yes,4,22,6,4,3,No
336,454,29,Male,Married,Other,Research & Development,1,2119,1,Yes,3,11,7,7,7,Yes
337,455,29,Male,Single,Other,Research & Development,1,3983,0,No,3,17,4,3,2,No
338,456,30,Female,Divorced,Marketing,Sales,2,6118,1,No,3,13,10,10,9,No
339,458,27,Female,Married,Marketing,Sales,2,6214,1,No,3,18,8,8,7,No
340,460,37,Male,Divorced,Medical,Research & Development,2,6347,7,No,3,16,8,6,2,No
341,461,38,Male,Divorced,Life Sciences,Research & Development,3,11510,0,Yes,3,14,12,11,10,No
342,462,31,Female,Single,Medical,Research & Development,3,7143,1,Yes,3,14,11,11,9,No
343,463,29,Female,Divorced,Marketing,Sales,2,8268,1,Yes,3,14,7,7,7,No
344,464,35,Male,Single,Technical Degree,Research & Development,3,8095,0,No,3,13,17,16,6,No
345,465,23,Male,Divorced,Life Sciences,Research & Development,1,2904,1,No,3,12,4,4,2,No
346,466,41,Male,Single,Medical,Research & Development,2,6032,6,Yes,3,15,8,5,4,No
347,467,47,Male,Single,Medical,Sales,2,2976,3,No,3,19,5,0,0,No
348,468,42,Female,Single,Life Sciences,Research & Development,4,15992,2,No,3,14,16,1,0,No
349,469,29,Male,Married,Life Sciences,Sales,2,4649,1,No,3,14,4,4,3,No
350,470,42,Male,Divorced,Technical Degree,Human Resources,1,2696,0,Yes,3,11,4,3,2,No
351,471,32,Female,Married,Medical,Research & Development,1,2370,1,No,3,13,8,8,0,No
352,473,48,Female,Married,Medical,Sales,3,12504,3,No,4,21,15,0,0,No
353,474,37,Male,Divorced,Medical,Research & Development,2,5974,4,Yes,3,13,13,7,7,No
354,475,30,Female,Married,Technical Degree,Sales,2,4736,7,Yes,3,12,4,2,2,No
355,476,26,Male,Married,Life Sciences,Sales,2,5296,1,No,3,17,8,8,7,No
356,477,42,Male,Single,Other,Research & Development,2,6781,3,No,4,23,14,1,0,No
357,478,21,Female,Single,Technical Degree,Sales,1,2174,1,Yes,3,11,3,3,2,Yes
358,479,36,Female,Single,Medical,Sales,2,6653,4,No,3,15,7,1,0,No
359,481,36,Male,Married,Medical,Sales,3,9699,4,No,3,11,16,13,9,No
360,482,57,Male,Married,Medical,Research & Development,2,6755,2,No,3,11,15,3,2,No
361,483,40,Female,Married,Life Sciences,Research & Development,1,2213,3,Yes,3,13,10,7,7,No
362,484,21,Male,Single,Medical,Sales,1,2610,1,No,4,24,3,3,2,No
363,485,33,Female,Single,Marketing,Sales,1,2851,1,Yes,3,13,1,1,0,Yes
364,486,37,Female,Married,Medical,Research & Development,1,3452,6,No,4,20,17,5,4,No
365,487,46,Female,Married,Medical,Research & Development,2,5258,2,No,3,14,7,1,0,No
366,488,41,Male,Single,Marketing,Sales,2,9355,1,No,3,18,8,8,7,Yes
367,491,50,Male,Single,Technical Degree,Research & Development,3,10496,6,No,3,15,20,4,3,No
368,492,40,Male,Married,Marketing,Sales,2,6380,2,Yes,3,12,8,6,4,Yes
369,493,31,Male,Single,Life Sciences,Research & Development,1,2657,0,Yes,3,16,3,2,2,No
370,494,21,Female,Single,Life Sciences,Sales,1,2716,1,No,3,15,1,1,0,Yes
371,495,29,Male,Single,Life Sciences,Research & Development,1,2201,9,No,3,16,6,3,2,No
372,496,35,Male,Single,Life Sciences,Research & Development,2,6540,9,No,3,19,10,1,1,No
373,497,27,Male,Divorced,Medical,Research & Development,1,3816,1,No,3,11,5,5,2,No
374,498,28,Male,Single,Life Sciences,Sales,2,5253,1,No,3,16,7,7,5,No
375,499,49,Male,Single,Other,Research & Development,3,10965,8,No,4,24,26,5,2,No
376,500,51,Female,Married,Life Sciences,Sales,2,4936,4,No,3,11,18,7,7,No
377,501,36,Female,Married,Life Sciences,Research & Development,1,2543,4,No,3,13,6,2,2,No
378,502,34,Male,Single,Marketing,Sales,2,5304,8,Yes,3,13,9,5,2,Yes
379,505,55,Female,Single,Life Sciences,Research & Development,4,16659,2,Yes,3,13,30,5,4,No
380,507,24,Female,Divorced,Marketing,Sales,2,4260,1,Yes,3,12,5,5,2,No
381,508,30,Male,Married,Technical Degree,Sales,1,2476,1,No,3,18,1,1,0,No
382,510,26,Male,Single,Technical Degree,Research & Development,1,3102,0,No,4,22,7,6,4,Yes
383,511,22,Female,Married,Medical,Research & Development,1,2244,1,No,3,13,2,2,1,No
384,513,36,Male,Married,Medical,Sales,3,7596,1,No,3,13,10,10,9,No
385,514,30,Male,Single,Technical Degree,Research & Development,1,2285,9,Yes,4,23,3,1,0,Yes
386,515,37,Female,Divorced,Life Sciences,Research & Development,1,3034,1,No,3,12,18,18,7,No
387,516,40,Female,Divorced,Marketing,Sales,2,5715,7,No,3,12,8,5,4,No
388,517,42,Female,Divorced,Life Sciences,Research & Development,1,2576,3,No,3,16,8,5,2,No
389,518,37,Male,Single,Life Sciences,Research & Development,2,4197,2,Yes,3,12,18,1,0,No
390,520,43,Male,Divorced,Life Sciences,Research & Development,4,14336,1,No,3,11,25,25,10,No
391,521,40,Female,Married,Medical,Research & Development,2,3448,6,No,4,22,20,1,0,No
392,522,54,Male,Married,Medical,Research & Development,5,19406,4,No,3,11,24,4,2,No
393,523,34,Female,Married,Marketing,Sales,2,6538,9,No,3,15,6,3,2,No
394,524,31,Female,Married,Medical,Research & Development,2,4306,1,No,3,12,13,13,10,No
395,525,43,Male,Married,Medical,Research & Development,1,2258,7,No,4,20,8,3,2,No
396,526,43,Female,Divorced,Other,Research & Development,2,4522,4,Yes,3,14,8,5,2,No
397,527,25,Female,Single,Life Sciences,Sales,2,4487,1,Yes,3,11,5,5,4,No
398,529,37,Female,Married,Medical,Research & Development,2,4449,3,Yes,3,15,15,13,11,No
399,530,31,Male,Married,Life Sciences,Research & Development,1,2218,1,No,3,12,4,4,2,No
400,531,39,Male,Divorced,Life Sciences,Research & Development,5,19197,1,Yes,3,14,21,21,8,No
401,532,56,Female,Married,Life Sciences,Sales,4,13212,9,No,3,11,36,7,7,No
402,533,30,Female,Single,Technical Degree,Sales,2,6577,0,No,3,11,6,5,4,No
403,534,41,Male,Married,Marketing,Sales,3,8392,1,No,3,16,10,10,7,No
404,536,28,Male,Divorced,Medical,Research & Development,2,4558,1,No,3,12,10,10,0,No
405,538,25,Male,Married,Medical,Research & Development,1,4031,5,No,3,13,6,2,2,Yes
406,543,52,Male,Married,Medical,Research & Development,3,7969,2,Yes,3,14,28,5,4,No
407,544,45,Male,Married,Life Sciences,Research & Development,1,2654,3,No,4,21,8,2,2,No
408,546,52,Female,Married,Life Sciences,Research & Development,4,16555,2,No,3,13,31,5,2,No
409,547,42,Female,Divorced,Life Sciences,Research & Development,2,4556,2,No,3,11,19,5,4,No
410,548,30,Female,Single,Life Sciences,Research & Development,2,6091,2,No,4,20,11,5,4,No
411,549,60,Female,Married,Life Sciences,Research & Development,5,19566,5,No,3,11,33,29,8,No
412,550,46,Female,Divorced,Medical,Research & Development,2,4810,2,No,3,14,19,10,7,No
413,551,42,Female,Married,Technical Degree,Research & Development,2,4523,0,No,3,11,7,6,5,No
414,554,24,Female,Single,Technical Degree,Sales,1,3202,1,Yes,3,16,6,5,3,Yes
415,555,34,Female,Divorced,Marketing,Sales,1,2351,0,No,3,16,3,2,2,Yes
416,556,38,Male,Married,Life Sciences,Research & Development,1,1702,1,Yes,4,23,1,1,0,No
417,558,40,Female,Married,Life Sciences,Sales,5,18041,0,No,3,14,21,20,15,No
418,560,26,Female,Divorced,Life Sciences,Research & Development,1,2886,1,No,4,22,3,3,2,No
419,562,30,Male,Married,Life Sciences,Research & Development,1,2097,4,No,3,15,9,5,3,No
420,564,29,Male,Married,Medical,Research & Development,3,11935,1,No,3,18,10,10,2,No
421,565,29,Female,Married,Technical Degree,Research & Development,1,2546,5,No,3,16,6,2,2,Yes
422,566,19,Male,Single,Technical Degree,Human Resources,1,2564,1,No,3,12,1,1,0,Yes
423,567,30,Female,Married,Other,Sales,3,8412,0,No,3,11,10,9,8,No
424,568,57,Male,Divorced,Marketing,Sales,4,14118,3,No,3,12,32,1,0,No
425,569,50,Male,Married,Life Sciences,Research & Development,4,17046,0,No,3,15,28,27,10,No
426,571,30,Female,Single,Medical,Research & Development,1,2564,0,No,3,14,12,11,7,No
427,573,60,Female,Married,Marketing,Sales,3,10266,4,No,3,19,22,18,13,No
428,574,47,Female,Divorced,Medical,Research & Development,2,5070,5,No,3,13,20,5,0,No
429,575,46,Male,Married,Life Sciences,Research & Development,4,17861,6,No,3,13,26,3,2,No
430,577,35,Male,Single,Life Sciences,Research & Development,1,4230,0,No,3,15,6,5,4,No
431,578,54,Female,Single,Life Sciences,Research & Development,2,3780,7,No,3,11,19,1,0,No
432,579,34,Male,Divorced,Life Sciences,Research & Development,1,2768,3,No,3,12,14,7,3,No
433,580,46,Female,Married,Marketing,Sales,3,9071,2,Yes,3,19,15,3,2,No
434,581,31,Male,Divorced,Life Sciences,Research & Development,3,10648,1,No,4,25,13,13,8,No
435,582,33,Male,Married,Medical,Research & Development,3,13610,7,Yes,3,12,15,7,6,Yes
436,584,33,Male,Divorced,Medical,Research & Development,1,3408,7,No,3,13,8,4,3,Yes
437,585,30,Male,Single,Marketing,Sales,1,2983,0,No,3,14,4,3,2,No
438,586,35,Male,Married,Life Sciences,Research & Development,3,7632,4,Yes,3,12,10,8,7,No
439,587,31,Male,Married,Life Sciences,Research & Development,3,9824,3,No,3,12,12,1,0,Yes
440,590,34,Female,Divorced,Human Resources,Human Resources,3,9950,9,Yes,3,15,11,3,2,Yes
441,591,42,Male,Married,Other,Research & Development,1,2093,4,No,3,17,8,2,2,No
442,592,36,Male,Single,Medical,Sales,3,9980,1,No,3,14,10,10,3,No
443,593,22,Male,Single,Technical Degree,Research & Development,1,3894,5,No,3,16,4,2,2,Yes
444,595,48,Female,Married,Marketing,Sales,2,4051,2,No,3,14,14,9,7,No
445,597,55,Female,Single,Life Sciences,Sales,4,16835,3,No,4,23,37,10,9,No
446,599,41,Male,Single,Life Sciences,Sales,2,6230,7,No,3,14,16,14,3,No
447,600,35,Male,Married,Marketing,Sales,2,4717,9,No,3,11,15,11,9,No
448,601,40,Female,Single,Life Sciences,Research & Development,4,13237,7,No,3,15,22,20,6,No
449,602,39,Female,Married,Life Sciences,Research & Development,1,3755,1,No,3,11,8,8,3,No
450,604,31,Male,Single,Life Sciences,Sales,2,6582,4,Yes,3,13,10,6,5,No
451,605,42,Male,Married,Medical,Research & Development,3,7406,1,Yes,4,21,10,10,9,No
452,606,45,Male,Married,Other,Sales,2,4805,0,No,3,19,9,8,7,No
453,608,26,Female,Divorced,Life Sciences,Human Resources,1,2741,0,Yes,3,11,8,7,7,Yes
454,611,29,Male,Divorced,Technical Degree,Research & Development,2,4262,4,No,3,12,8,3,2,No
455,612,33,Female,Divorced,Medical,Research & Development,4,16184,4,No,3,19,10,6,1,No
456,613,31,Male,Divorced,Life Sciences,Sales,3,11557,9,No,4,21,10,5,4,No
457,614,18,Male,Single,Marketing,Sales,1,1878,1,Yes,3,14,0,0,0,Yes
458,615,40,Male,Divorced,Other,Sales,3,10932,3,No,3,15,20,1,0,No
459,616,41,Female,Single,Other,Research & Development,2,6811,2,Yes,3,17,10,8,7,No
460,618,26,Male,Divorced,Medical,Sales,2,4306,5,No,3,12,8,0,0,No
461,620,35,Female,Single,Medical,Sales,2,4859,1,No,3,16,5,5,4,No
462,621,34,Male,Single,Life Sciences,Sales,2,5337,1,No,3,12,10,10,7,No
463,622,26,Male,Single,Technical Degree,Research & Development,1,2340,1,Yes,3,18,1,1,0,Yes
464,623,37,Female,Single,Technical Degree,Research & Development,3,7491,4,No,3,17,12,6,5,No
465,624,46,Female,Married,Medical,Research & Development,3,10527,5,No,3,11,28,2,2,No
466,625,41,Female,Married,Life Sciences,Sales,4,16595,7,No,3,16,22,18,16,No
467,626,37,Male,Divorced,Medical,Sales,3,8834,1,No,3,13,9,9,5,No
468,630,52,Male,Divorced,Technical Degree,Research & Development,2,5577,3,Yes,3,12,18,10,9,No
469,631,32,Male,Married,Other,Sales,2,4707,8,No,3,12,6,4,2,Yes
470,632,24,Male,Married,Medical,Sales,1,2400,0,No,3,13,3,2,2,No
471,634,38,Female,Married,Medical,Research & Development,2,9824,3,No,3,19,18,1,0,No
472,635,37,Female,Married,Life Sciences,Research & Development,2,6447,6,No,3,12,8,6,5,No
473,638,49,Male,Divorced,Life Sciences,Research & Development,5,19502,1,Yes,3,17,31,31,9,No
474,639,24,Male,Married,Medical,Research & Development,1,2725,1,Yes,3,11,6,6,5,No
475,641,26,Male,Married,Marketing,Sales,2,6272,1,No,4,20,6,5,3,No
476,643,24,Male,Married,Other,Research & Development,1,2127,1,No,4,21,1,1,0,No
477,644,50,Male,Married,Medical,Human Resources,5,18200,1,No,3,11,32,32,5,No
478,645,25,Male,Married,Medical,Sales,1,2096,1,No,3,11,7,7,4,No
479,647,24,Female,Married,Life Sciences,Research & Development,1,2886,1,Yes,3,16,6,6,3,Yes
480,648,30,Male,Married,Life Sciences,Sales,1,2033,1,No,3,18,1,1,0,Yes
481,649,34,Male,Married,Life Sciences,Research & Development,1,3622,1,Yes,3,13,6,6,5,No
482,650,31,Male,Divorced,Medical,Sales,2,4233,2,No,3,17,9,3,1,Yes
483,652,35,Male,Single,Other,Research & Development,2,3681,4,No,3,14,9,3,2,No
484,653,31,Male,Divorced,Medical,Sales,2,5460,4,No,4,22,13,7,7,No
485,655,27,Female,Divorced,Medical,Research & Development,1,2187,0,No,3,12,6,5,3,No
486,656,37,Male,Married,Marketing,Sales,2,9602,4,Yes,3,11,17,3,0,No
487,657,20,Female,Single,Life Sciences,Research & Development,1,2836,1,No,3,13,1,1,0,No
488,659,42,Female,Married,Life Sciences,Research & Development,2,4089,1,No,3,13,10,10,2,No
489,661,43,Male,Divorced,Other,Research & Development,4,16627,4,Yes,3,14,21,1,0,No
490,662,38,Female,Single,Life Sciences,Research & Development,1,2619,3,No,3,17,8,0,0,No
491,663,43,Male,Divorced,Medical,Research & Development,2,5679,3,Yes,3,13,10,8,7,No
492,664,48,Female,Married,Life Sciences,Research & Development,4,15402,7,No,3,11,21,3,2,No
493,665,44,Female,Single,Life Sciences,Human Resources,2,5985,4,No,3,11,10,2,2,No
494,666,34,Female,Divorced,Technical Degree,Sales,1,2579,1,Yes,3,18,8,8,2,No
495,667,27,Male,Divorced,Marketing,Sales,1,3041,0,No,3,11,5,4,3,Yes
496,669,21,Male,Single,Technical Degree,Sales,1,3447,1,No,3,11,3,3,2,No
497,671,44,Male,Married,Other,Research & Development,5,19513,4,Yes,3,12,26,2,2,No
498,675,22,Male,Married,Medical,Research & Development,1,2773,0,No,4,20,3,2,2,No
499,677,33,Male,Divorced,Marketing,Sales,2,7104,0,No,3,12,6,5,0,No
500,679,32,Female,Married,Life Sciences,Research & Development,2,6322,1,Yes,3,12,6,6,4,No
501,680,30,Female,Divorced,Medical,Research & Development,1,2083,1,No,4,20,1,1,0,No
502,682,53,Female,Single,Medical,Sales,2,8381,7,No,4,20,18,14,7,No
503,683,34,Male,Married,Life Sciences,Research & Development,1,2691,1,No,3,12,10,10,9,No
504,684,45,Female,Married,Life Sciences,Sales,2,4286,2,No,3,14,5,1,1,Yes
505,686,26,Female,Married,Life Sciences,Research & Development,1,2659,1,Yes,3,13,3,3,2,No
506,689,37,Male,Married,Other,Research & Development,3,9434,1,No,3,15,10,10,7,No
507,690,29,Female,Married,Medical,Sales,2,5561,1,No,3,14,6,6,0,No
508,691,35,Male,Single,Life Sciences,Research & Development,2,6646,1,No,3,13,17,17,11,No
509,692,33,Male,Divorced,Life Sciences,Research & Development,2,7725,3,No,4,23,15,13,11,No
510,698,54,Male,Married,Medical,Human Resources,3,10725,2,No,3,15,16,9,7,No
511,699,36,Male,Divorced,Medical,Research & Development,2,8847,2,Yes,3,11,13,3,2,No
512,700,27,Male,Single,Medical,Research & Development,1,2045,0,No,3,13,5,4,2,No
513,701,20,Male,Single,Medical,Research & Development,1,1009,1,Yes,3,11,1,1,0,Yes
514,702,33,Male,Single,Life Sciences,Research & Development,1,3348,1,Yes,3,11,10,10,8,Yes
515,704,35,Male,Married,Life Sciences,Research & Development,1,1281,1,No,3,18,1,1,0,No
516,705,23,Male,Married,Medical,Research & Development,1,2819,2,No,3,16,5,3,2,No
517,707,25,Male,Married,Life Sciences,Sales,2,4851,0,No,4,22,4,3,2,No
518,709,38,Female,Single,Marketing,Sales,2,4028,0,No,4,20,8,7,7,No
519,710,29,Male,Divorced,Life Sciences,Research & Development,1,2720,1,No,3,18,10,10,7,No
520,712,48,Male,Married,Marketing,Sales,2,8120,3,No,3,12,12,2,2,No
521,714,27,Female,Divorced,Medical,Sales,2,4647,1,Yes,4,20,6,6,5,No
522,715,37,Male,Single,Life Sciences,Research & Development,1,4680,3,No,3,17,4,1,0,No
523,716,50,Male,Married,Medical,Research & Development,1,3221,1,Yes,3,11,20,20,8,No
524,717,34,Female,Single,Medical,Research & Development,3,8621,1,No,3,14,9,8,7,No
525,720,24,Female,Single,Life Sciences,Sales,2,4577,9,No,3,14,4,2,2,Yes
526,721,39,Female,Single,Technical Degree,Research & Development,2,4553,1,No,3,11,20,20,7,No
527,722,32,Male,Single,Marketing,Sales,2,5396,1,No,3,12,10,10,7,No
528,723,50,Male,Married,Technical Degree,Sales,2,6796,3,Yes,3,14,18,4,3,Yes
529,724,38,Female,Single,Life Sciences,Research & Development,2,7625,0,No,3,13,10,9,7,No
530,725,27,Female,Married,Life Sciences,Research & Development,3,7412,1,No,3,11,9,9,7,No
531,727,32,Female,Single,Life Sciences,Research & Development,3,11159,3,No,3,15,10,7,7,No
532,728,47,Male,Single,Marketing,Sales,2,4960,2,No,3,12,20,7,7,No
533,729,40,Male,Married,Life Sciences,Sales,3,10475,5,Yes,4,21,20,18,13,No
534,730,53,Male,Married,Life Sciences,Research & Development,4,14814,3,No,3,19,32,5,1,No
535,731,41,Male,Divorced,Human Resources,Human Resources,5,19141,3,No,3,15,23,21,6,No
536,732,60,Male,Single,Marketing,Sales,2,5405,8,No,3,14,10,2,2,No
537,733,27,Male,Divorced,Life Sciences,Research & Development,3,8793,1,No,4,21,9,9,7,No
538,734,41,Male,Married,Human Resources,Human Resources,5,19189,1,No,3,12,22,22,7,No
539,738,50,Male,Married,Marketing,Sales,1,3875,7,No,3,15,4,2,2,No
540,741,28,Female,Single,Life Sciences,Research & Development,1,2216,7,Yes,3,13,10,7,7,Yes
541,742,36,Female,Married,Life Sciences,Research & Development,3,11713,9,No,3,14,10,8,7,No
542,743,38,Female,Single,Life Sciences,Research & Development,3,7861,4,Yes,3,14,10,1,0,No
543,744,44,Male,Single,Medical,Research & Development,1,3708,2,No,3,14,9,5,2,No
544,746,47,Female,Divorced,Medical,Sales,4,13770,9,Yes,3,12,28,22,2,No
545,747,30,Male,Divorced,Marketing,Sales,2,5304,7,No,4,23,10,8,7,No
546,749,29,Male,Single,Life Sciences,Sales,1,2642,1,No,3,11,1,1,0,No
547,752,42,Male,Divorced,Medical,Research & Development,1,2759,6,Yes,3,12,7,2,2,Yes
548,754,43,Male,Married,Life Sciences,Sales,2,6804,3,No,3,18,7,2,2,No
549,757,34,Female,Single,Medical,Research & Development,2,6142,3,No,3,11,10,5,1,No
550,758,23,Male,Married,Medical,Research & Development,1,2500,1,No,3,14,5,4,3,No
551,760,39,Female,Married,Human Resources,Human Resources,2,6389,9,No,3,15,12,8,3,No
552,762,56,Male,Married,Medical,Research & Development,4,11103,7,No,3,11,30,10,7,No
553,763,40,Female,Single,Medical,Research & Development,1,2342,0,Yes,4,20,5,4,2,No
554,764,27,Female,Single,Medical,Research & Development,2,6811,8,No,3,19,9,7,6,No
555,766,29,Male,Divorced,Marketing,Sales,1,2297,1,No,3,14,2,2,2,No
556,769,53,Male,Single,Life Sciences,Research & Development,2,2450,2,No,3,17,19,2,2,No
557,771,35,Female,Divorced,Life Sciences,Research & Development,2,5093,2,No,3,11,16,1,0,No
558,772,32,Male,Married,Life Sciences,Research & Development,2,5309,1,No,3,15,10,10,8,No
559,773,38,Male,Married,Medical,Research & Development,1,3057,6,Yes,3,13,6,1,0,No
560,775,34,Female,Divorced,Life Sciences,Research & Development,2,5121,3,No,3,14,7,0,0,No
561,776,52,Male,Married,Marketing,Sales,4,16856,1,No,3,11,34,34,6,No
562,780,33,Male,Single,Other,Research & Development,1,2686,1,Yes,3,13,10,10,9,Yes
563,781,25,Female,Single,Medical,Sales,2,6180,1,No,4,23,6,6,5,No
564,783,45,Male,Single,Technical Degree,Sales,2,6632,0,No,3,13,9,8,7,No
565,784,23,Male,Single,Medical,Research & Development,1,3505,1,No,3,18,2,2,2,No
566,785,47,Female,Single,Life Sciences,Sales,2,6397,4,Yes,3,12,8,5,4,Yes
567,786,34,Male,Single,Other,Sales,2,6274,1,No,4,22,6,6,5,No
568,787,55,Male,Married,Medical,Research & Development,5,19859,5,Yes,3,13,24,5,2,Yes
569,789,36,Male,Single,Life Sciences,Sales,3,7587,1,No,3,15,10,10,7,No
570,791,52,Male,Married,Medical,Research & Development,1,4258,0,No,3,18,5,4,3,No
571,792,26,Female,Divorced,Life Sciences,Research & Development,1,4364,3,No,3,14,5,2,2,No
572,793,29,Female,Married,Medical,Research & Development,2,4335,4,No,3,12,11,8,7,No
573,796,26,Male,Single,Technical Degree,Sales,2,5326,6,No,3,17,6,4,3,Yes
574,797,34,Female,Single,Life Sciences,Research & Development,1,3280,2,No,3,16,10,4,2,No
575,799,54,Female,Divorced,Medical,Research & Development,2,5485,9,Yes,3,11,9,5,3,No
576,800,27,Male,Married,Marketing,Sales,2,4342,0,No,3,19,5,4,2,No
577,802,37,Female,Divorced,Life Sciences,Research & Development,1,2782,0,Yes,3,13,6,5,3,No
578,803,38,Female,Single,Life Sciences,Research & Development,2,5980,6,Yes,3,12,17,15,7,No
579,804,34,Female,Single,Medical,Research & Development,1,4381,1,No,3,11,6,6,5,No
580,805,35,Female,Married,Life Sciences,Sales,1,2572,1,No,3,16,3,3,2,No
581,806,30,Male,Married,Life Sciences,Research & Development,1,3833,3,No,4,21,7,2,2,No
582,807,40,Female,Married,Medical,Research & Development,2,4244,1,No,4,24,8,8,7,No
583,808,34,Female,Married,Life Sciences,Sales,2,6500,5,No,3,17,6,3,2,No
584,809,42,Male,Divorced,Life Sciences,Research & Development,5,18430,1,No,3,13,24,24,7,No
585,811,23,Male,Married,Life Sciences,Research & Development,1,1601,1,Yes,4,21,1,0,0,Yes
586,812,24,Male,Divorced,Life Sciences,Research & Development,1,2694,1,No,3,11,1,1,0,No
587,813,52,Female,Married,Life Sciences,Research & Development,2,3149,8,No,4,20,9,5,2,No
588,815,50,Male,Married,Medical,Research & Development,4,17639,5,No,3,16,30,4,3,No
589,816,29,Female,Married,Life Sciences,Research & Development,1,2319,1,Yes,3,11,1,1,0,Yes
590,817,33,Male,Married,Medical,Research & Development,3,11691,0,No,3,11,14,13,9,No
591,819,33,Female,Single,Marketing,Sales,2,5324,5,No,3,15,6,3,2,Yes
592,820,47,Female,Married,Other,Research & Development,4,16752,1,Yes,3,11,26,26,14,No
593,823,36,Female,Married,Other,Research & Development,2,5228,0,No,3,15,10,9,7,No
594,824,29,Male,Married,Life Sciences,Research & Development,1,2700,1,No,4,24,10,10,7,No
595,825,58,Male,Single,Life Sciences,Research & Development,5,19246,7,Yes,3,12,40,31,15,Yes
596,826,35,Female,Single,Life Sciences,Research & Development,1,2506,3,No,3,13,7,2,2,No
597,827,42,Female,Married,Life Sciences,Research & Development,2,6062,9,Yes,3,13,8,4,3,No
598,828,28,Male,Single,Medical,Research & Development,1,4382,6,No,3,17,5,2,2,Yes
599,829,36,Male,Married,Human Resources,Human Resources,1,2143,4,No,3,13,8,5,2,No
600,830,32,Female,Married,Life Sciences,Research & Development,2,6162,1,No,3,12,14,14,13,No
601,832,40,Male,Single,Medical,Research & Development,2,5094,6,No,3,14,10,1,0,No
602,833,30,Female,Single,Medical,Research & Development,2,6877,5,Yes,4,24,12,0,0,No
603,834,45,Female,Single,Life Sciences,Research & Development,1,2274,1,No,3,14,1,1,0,No
604,836,42,Male,Married,Life Sciences,Research & Development,2,4434,1,No,3,13,10,9,8,No
605,837,38,Male,Divorced,Life Sciences,Research & Development,2,6288,2,No,3,15,13,4,3,No
606,838,34,Female,Single,Life Sciences,Research & Development,1,2553,1,No,3,16,6,5,2,No
607,840,49,Female,Married,Marketing,Sales,3,7654,1,No,3,18,9,9,8,Yes
608,842,55,Male,Single,Medical,Sales,2,5160,4,No,3,16,12,9,7,Yes
609,843,43,Male,Married,Life Sciences,Research & Development,4,17159,6,No,4,24,22,4,1,No
